Cultural Trends and Influences,Museum Visitors,visits/month
Year,Echoes of Ages Collection,Aethelgard Historical Archive,Museum of Stellar Artifice,The Chronos Museum,Silverhaven Maritime Museum,Gallery of Whispers,The Verdant Hall
trend,bimodal_valley,single_valley,stable_rising,bimodal_valley,volatile_rising,bimodal_valley,exponential_falling
2006,339144.88,778830.42,720260.76,466281.2,894986.16,246492.35,979265.42
2007,221041.54,414733.47,1103545.89,446574.84,1105843.5,388274.69,809725.71
2008,285511.5,586336.75,1127347.15,400750.99,1081683.09,150039.77,805609.94
2009,199879.46,486358.9,1263883.87,296819.67,1105418.53,320812.91,709313.86
2010,10000.0,678726.05,1149926.23,10000.0,1536487.55,204759.14,647971.33
2011,10000.0,360715.97,1340114.25,18896.95,1260591.93,73158.63,621448.92
2012,10000.0,234546.43,1154228.6,197218.72,1500455.52,10000.0,506345.11
2013,10000.0,243940.36,1346511.53,10000.0,1319149.6,10000.0,452592.0
2014,10000.0,341657.89,1424861.57,10000.0,1867284.37,20373.37,555504.58
2015,10000.0,88368.54,1420215.32,77012.83,1860825.58,37902.85,319402.24
2016,25179.63,231695.54,1537210.08,10000.0,1521490.55,10000.0,479077.06
2017,146979.66,385596.18,1395783.86,123353.03,1862652.34,49590.97,242488.14
2018,10000.0,359175.47,1531456.49,93490.57,1953354.02,306111.5,339092.68
2019,29583.2,525567.9,1558875.28,31493.78,2033330.61,35829.99,376964.02
2020,218797.15,621584.21,1717333.14,197006.74,2050841.73,82212.05,112679.96
2021,519900.48,638279.25,1675295.18,453137.71,2123645.98,340909.46,265877.69
2022,288753.75,795684.6,1824481.76,320086.56,2275743.07,358233.96,193245.37
2023,604277.87,1004492.23,1957562.93,353031.16,2381681.37,263462.88,181684.6
