Business and Finance,Market Share,%
trend,exponential_falling,single_peak,volatile_rising,volatile_falling,single_valley,exponential_rising,stable_rising
Year,Apex Systems,Horizon Enterprises,Starlight Innovations,Vanguard Dynamics,Ironclad Ventures,Aegis Corp,NovaTech Solutions
1966,19.91,21.93,19.41,17.86,18.62,19.95,20.31
1967,15.19,19.8,20.41,16.07,19.56,20.26,20.44
1968,12.6,23.2,21.18,17.73,16.83,23.23,23.57
1969,14.91,23.45,26.1,13.01,16.94,27.3,22.62
1970,14.39,25.8,25.68,15.37,16.85,28.62,23.8
1971,12.91,24.9,27.6,14.67,15.38,32.34,24.73
1972,8.65,26.34,30.83,12.83,13.03,34.8,26.3
1973,10.98,29.68,32.2,8.86,12.16,38.81,26.31
1974,8.6,30.54,31.43,12.48,9.27,43.76,29.58
1975,6.46,32.29,31.47,10.01,7.27,46.77,29.1
1976,8.02,34.43,35.54,7.92,6.98,52.74,29.62
1977,5.1,36.49,40.09,8.2,4.61,54.46,30.76
1978,5.58,35.24,37.24,7.77,6.02,63.44,31.1
1979,5.47,32.49,40.32,3.42,6.6,70.65,32.64
1980,6.02,33.3,40.62,8.01,5.91,77.09,34.34
1981,7.16,33.28,48.09,4.21,5.85,86.21,36.28
1982,5.41,27.59,47.19,1.49,8.67,90.91,34.02
1983,3.07,29.93,47.13,0.21,11.19,100,36.36
1984,0.8,28.02,46.24,0.28,10.58,100,38.94
1985,2.64,25.08,48.81,0.2,13.3,100,39.35
1986,3.19,21.88,49.8,0.2,13.41,100,41.17
1987,2.34,24.44,55.61,0.2,16.87,100,41.08
1988,1.58,24.77,56.09,0.2,19.25,100,42.26
1989,1.41,19.58,55.18,0.2,17.28,100,41.12
1990,0.2,22.88,60.29,0.2,21.89,100,41.6
1991,0.2,21.23,60.91,0.2,21.08,100,44.99
