Agriculture and Food Production,Food Waste,tons
trend,bimodal_valley,volatile_falling,exponential_falling,bimodal_valley,periodic_stable,bimodal_valley
Year,TerraTrade Network,Verdant Distribution,AgriFlow Solutions,FarmGate Transit,AgroChain Management,HarvestLink Systems
1985,8482.32,9141.06,13117.84,5864.81,5518.8,7393.7
1986,7287.86,8544.58,11797.78,5056.1,6778.73,6302.77
1987,6125.16,8012.5,10511.92,4218.22,6334.19,5331.0
1988,4958.44,7444.04,9566.43,3425.51,4705.33,4309.07
1989,4017.77,6869.81,8645.83,2753.93,4213.5,3477.39
1990,3426.91,6409.12,7676.73,2401.67,5449.45,2843.19
1991,3220.62,5813.45,6905.99,2127.82,6808.25,2592.91
1992,3194.07,5271.87,6429.07,2267.81,6309.86,2771.07
1993,3516.97,4765.99,5571.31,2469.03,4640.89,3081.38
1994,4151.85,4161.14,5148.95,2869.72,4159.07,3462.55
1995,4756.52,3605.88,4575.31,3281.98,5516.76,4046.23
1996,5280.93,3067.64,3985.73,3660.97,6783.1,4527.77
1997,5729.89,2462.45,3653.8,3931.94,6334.01,5099.26
1998,5806.14,2063.13,3270.17,4086.49,4678.31,5014.7
1999,5712.33,1459.96,2924.77,3961.55,4218.9,4884.98
2000,5371.89,959.13,2584.2,3662.04,5507.75,4583.89
2001,4761.13,329.72,2401.84,3261.04,6844.66,3996.65
2002,4137.26,90.74,2137.61,2887.57,6348.23,3471.46
2003,3532.56,90.74,1934.41,2408.6,4719.57,2988.75
2004,3172.29,90.74,1678.08,2232.26,4247.28,2683.23
2005,3134.86,90.74,1638.43,2219.64,5530.3,2549.54
2006,3432.52,90.74,1431.76,2355.62,6899.69,2995.23
2007,4083.0,90.74,1168.38,2793.08,6329.05,3431.21
2008,4921.81,90.74,1127.07,3388.19,4686.16,4303.89
2009,6107.58,90.74,1078.31,4182.79,4171.18,5301.43
2010,7310.92,90.74,868.54,4992.77,5515.4,6218.3
2011,8522.98,90.74,848.15,5827.61,6807.67,7299.78
