Business and Finance,Customer Acquisition Cost,$
trend,stable_rising,single_peak,volatile_rising
Year,Apex Systems,Aegis Corp,Starlight Innovations
1974,80.16,140.82,86.36
1975,82.91,151.82,96.33
1976,89.21,159.77,101.19
1977,92.42,170.53,109.7
1978,95.91,179.47,115.1
1979,98.55,186.55,122.46
1980,104.84,192.49,129.5
1981,108.0,192.39,136.97
1982,110.3,191.82,144.68
1983,114.95,187.67,150.79
1984,119.52,180.04,156.54
1985,123.8,169.97,166.08
1986,128.25,160.11,169.76
1987,130.86,150.54,179.07
1988,135.03,140.76,184.67
