Retail and E-commerce,Loyalty Program Growth,users
trend,stable_rising,bimodal_peak,periodic_stable,periodic_stable,exponential_falling,periodic_stable,bimodal_valley
Year,Gift Card Users,Family Plans,SuperSaver Club,Student Discounts,Corporate Partnerships,Flash Sale Subscribers,Elite Members
1991,295040.82,817564.28,514779.6,521825.85,498940.5,501390.52,442377.11
1992,700301.17,603429.89,606494.58,515193.06,416178.81,533075.13,359053.08
1993,481729.64,793149.04,563449.21,573400.65,477738.45,588079.03,121642.63
1994,670405.85,866153.48,464088.22,449670.57,478544.72,469450.7,279188.11
1995,693842.07,859317.76,354472.51,403609.95,307418.48,342096.48,202309.71
1996,776587.48,875409.01,560444.94,485520.78,430516.1,503483.71,39014.55
1997,539210.76,946081.31,610428.63,571497.01,168647.74,609505.03,48352.04
1998,621829.24,797574.57,577584.24,613622.34,226317.8,520635.62,42451.17
1999,814021.16,831690.78,332822.26,380903.77,5000.0,335713.55,136055.58
2000,917591.5,781846.94,373702.46,403739.53,128932.69,365273.83,297061.05
2001,718321.72,779238.4,459136.5,510818.46,101477.81,488152.83,205282.45
2002,519455.34,733503.61,600394.38,550083.75,210334.33,600965.85,35943.86
2003,947603.85,1094077.53,585048.28,571924.26,63378.52,581609.35,263971.08
2004,779299.59,837651.17,461546.44,404438.14,65925.52,429843.39,50983.18
2005,788855.36,1120698.0,377057.29,489340.14,144845.47,467791.39,313789.92
2006,800007.53,1211907.08,535889.36,409825.74,133630.08,432306.45,5000.0
2007,979788.77,890604.38,642415.25,706286.84,73598.13,482046.36,5000.0
2008,1099804.07,899321.62,558910.09,606390.47,206237.52,504679.93,142734.61
2009,1078249.84,734394.84,375629.44,535110.6,5000.0,501135.51,72216.79
2010,1088496.58,819810.99,491490.77,386034.9,218075.89,373521.86,5000.0
2011,991681.93,857784.43,510758.56,493310.69,101996.3,526139.83,144452.26
2012,1033605.86,996807.95,635104.79,581475.91,5000.0,589557.7,132172.28
2013,1180833.19,643235.32,506436.26,609368.79,170004.23,561540.8,250434.34
2014,1059247.18,761602.04,375464.66,583894.25,135657.27,406176.5,512841.69
2015,932400.8,559353.58,377230.14,381190.78,144377.54,316531.95,303432.88
