Energy and Utilities,Carbon Emissions,tons
trend,stable_falling,periodic_stable,single_valley
Year,Solara Energy Corp,Zephyr Waste Solutions,Borealis Renewables
1954,4771144.47,7204603.51,4287532.99
1955,4943085.03,8864514.18,4195866.44
1956,5083914.37,8248171.25,4060407.61
1957,5250769.41,6244664.99,3963617.36
1958,5357550.25,5481792.72,3733790.03
1959,5503482.3,7202814.02,3404762.09
1960,5587512.33,8850511.48,3220096.85
1961,5808860.38,8360424.48,2752368.45
1962,5961616.32,6094580.11,2428060.12
1963,6143970.12,5543261.2,1988142.43
1964,6232523.82,7261822.87,1685404.72
1965,6420408.92,8970228.62,1378231.93
1966,6614442.98,8445967.8,1148261.0
1967,6762031.94,6129559.48,1080883.93
1968,6848731.22,5556229.3,1109674.73
1969,7022963.15,7140089.56,1397916.98
1970,7106026.83,8960359.01,1609858.66
1971,7222633.18,8359401.15,2052750.66
1972,7461940.47,6175504.98,2400458.27
1973,7618791.26,5503646.19,2789371.18
1974,7721290.46,7154309.07,3124238.69
1975,7874914.54,8984994.49,3532916.29
1976,7949179.74,8201891.64,3712997.68
1977,8117917.83,6094522.65,3945690.78
1978,8252018.47,5480134.69,4075273.67
1979,8399040.3,7309729.65,4228666.13
1980,8551503.9,8846616.51,4226855.05
