Real Estate and Housing Market,Construction Starts,units/year
trend,exponential_rising,volatile_falling,single_peak,periodic_stable,volatile_rising,periodic_stable
Year,Shadowfen,Crimson Peaks,Silverwood Forest,Golden Delta,Veridian Plains,Azure Coast
1998,548.49,532.44,549.81,470.78,506.38,490.06
1999,539.92,457.6,506.93,608.86,494.35,615.95
2000,616.64,464.71,570.41,571.68,621.35,559.94
2001,641.47,420.17,582.77,424.03,666.5,449.52
2002,746.68,307.76,630.59,370.34,693.26,368.22
2003,809.9,320.51,693.12,514.12,706.23,510.81
2004,839.05,293.73,798.85,621.06,802.09,610.1
2005,980.34,281.47,721.33,591.77,825.0,576.2
2006,1097.78,306.34,791.31,417.43,902.46,404.23
2007,1189.34,261.51,877.83,365.02,847.49,367.52
2008,1271.24,156.55,887.11,488.38,906.67,505.13
2009,1460.62,142.39,895.35,624.83,920.28,587.88
2010,1557.49,199.3,829.18,551.29,947.28,556.74
2011,1709.61,86.59,892.96,433.65,1010.45,429.91
2012,1927.96,113.21,796.31,403.27,1051.5,404.22
2013,2048.22,83.16,795.25,498.1,1065.68,479.23
2014,2284.11,28.03,743.18,629.81,1105.67,632.28
2015,2589.15,5.0,717.86,573.41,1142.57,541.89
2016,2731.6,5.0,702.01,436.6,1230.73,416.73
2017,3016.38,5.0,627.32,383.84,1250.17,376.79
2018,3327.34,5.0,553.95,506.52,1302.14,497.39
2019,3763.7,5.0,575.92,619.15,1322.35,584.98
2020,4079.37,5.0,501.9,567.43,1382.2,553.92
2021,4481.5,5.0,546.47,468.25,1414.53,442.42
