Tourism and Hospitality,Tourist Attraction Visits,visitors
trend,exponential_falling,single_peak,single_valley
Year,Theme Parks,Mountain Peaks Park,Wildlife Sanctuaries
1952,42961.11,74159.54,49156.15
1953,39115.07,75091.32,49968.72
1954,33548.18,76532.09,48059.95
1955,30212.2,77567.86,46655.52
1956,27131.42,78771.15,45275.48
1957,24710.29,83088.48,42872.61
1958,21815.65,87678.73,39161.21
1959,20462.58,93160.87,36399.77
1960,17794.43,98617.12,32299.35
1961,16339.85,105946.68,26917.19
1962,15254.26,110826.49,22824.68
1963,13028.58,117851.53,18805.7
1964,11705.65,123190.16,16764.27
1965,10348.21,126130.18,13934.56
1966,10691.3,127321.32,12411.87
1967,8095.87,125132.96,11019.68
1968,7394.09,123647.27,15751.02
1969,7356.16,118453.91,19711.01
1970,7320.71,111596.5,22752.82
1971,5155.05,105707.87,27624.65
1972,4516.85,99042.24,33636.61
1973,5731.84,92598.48,36745.19
1974,4135.48,87674.21,40674.13
1975,2549.37,82875.29,43044.83
1976,3922.48,81379.21,44329.51
1977,2953.62,77876.81,46680.19
1978,2360.15,75421.37,47956.84
1979,1777.79,74044.55,48529.26
1980,2529.14,72522.28,48684.87
