Healthcare and Health,Vaccination Rate,%
trend,single_valley,volatile_rising,stable_rising,stable_falling
Year,Verdant Ward,Stellar City Core,Azure Enclave,Sector Beta
1990,53.49,65.87,90.03,100
1991,52.39,71.44,94.56,100
1992,50.24,76.94,98.94,100
1993,47.51,82.19,100,100
1994,44.51,86.01,100,100
1995,40.15,92.28,100,100
1996,35.84,97.25,100,100
1997,30.81,100,100,100
1998,25.42,100,100,100
1999,20.43,100,100,100
2000,17.13,100,100,100
2001,15.11,100,100,100
2002,13.89,100,100,100
2003,14.91,100,100,100
2004,16.96,100,100,100
2005,21.01,100,100,100
2006,25.66,100,100,100
2007,30.81,100,100,100
2008,35.54,100,100,100
2009,40.37,100,100,100
2010,44.33,100,100,100
2011,48.04,100,100,100
2012,50.54,100,100,100
2013,52.42,100,100,100
2014,53.93,100,100,100
2015,54.56,100,100,100
