Science and Engineering,Technology Adoption Rate,%
trend,exponential_rising,exponential_rising,stable_falling,stable_falling,exponential_rising,stable_rising,single_valley
Year,Urban Dwellers, Students,Elderly Population,Working Professionals,Rural Communities,Families,Young Adults
2008,16.81,10.98,15.97,19.26,12.47,13.67,12.67
2009,18.18,12.12,16.43,19.83,13.73,14.37,10.51
2010,20.07,13.41,16.73,20.02,14.82,15.07,8.67
2011,22.09,14.66,17.63,20.61,16.45,15.52,7.11
2012,24.17,16.22,17.76,20.94,18.28,16.0,6.47
2013,26.74,17.68,18.67,21.69,20.19,16.91,5.83
2014,29.49,19.47,18.84,22.04,22.02,17.5,6.27
2015,32.55,21.43,19.47,22.74,24.59,18.21,7.34
2016,35.53,23.5,19.66,22.99,26.77,18.4,8.74
2017,39.53,25.78,20.15,23.99,29.55,18.85,10.71
2018,43.01,28.61,20.82,24.42,32.42,19.73,12.93
