Tourism and Hospitality,Tourist Attraction Visits,visitors
Year,Wildlife Sanctuaries,Theme Parks,Mountain Peaks Park
trend,volatile_falling,bimodal_peak,exponential_falling
1996,43686.46,69305.61,59789.05
1997,50642.74,78292.15,51683.46
1998,47506.84,66437.61,28299.99
1999,26815.06,77017.34,46798.53
2000,23703.58,68387.62,13371.94
2001,37307.84,80260.52,18653.47
2002,8028.55,90599.2,21044.67
2003,44457.26,69358.86,20007.99
2004,25275.08,97933.06,32859.71
2005,58633.95,84829.96,28154.54
2006,8856.62,93111.05,3508.06
2007,22920.59,89169.36,27782.62
2008,19461.63,71690.85,12760.06
2009,30201.64,85608.48,5529.67
2010,17127.88,84576.01,18293.49
2011,500.0,81768.69,13847.3
2012,27504.45,85153.37,6568.36
2013,500.0,86636.5,7536.91
2014,500.0,85969.57,19928.98
2015,500.0,65751.24,13037.67
2016,500.0,88966.65,15810.94
2017,500.0,84667.67,2417.18
2018,500.0,82439.48,10308.94
2019,500.0,81025.64,500.0
2020,500.0,78081.94,2546.81
2021,500.0,71954.91,24036.45
2022,500.0,75215.08,500.0
2023,500.0,77623.99,500.0
2024,500.0,71765.92,500.0
