Sports and Entertainment,Sponsorship Revenue,$
trend,exponential_rising,stable_falling,exponential_falling,stable_rising,volatile_falling,exponential_rising,stable_falling
Year,Shadowfen Spectres,Azure Armada,Silverleaf Sentinels,Ironwood Invincibles,Veridian Vipers,Golden Griffins,Crimson Comets
1988,564759.63,521044.42,463699.08,600183.93,502307.3,565167.84,628077.84
1989,449967.13,464969.08,322516.19,549658.2,525504.03,437950.69,617439.17
1990,727385.77,446247.96,417819.56,532504.11,407728.21,580233.1,653389.25
1991,484355.02,399739.99,339887.31,641128.08,187397.38,660935.53,620189.85
1992,748319.78,661078.88,477910.18,489343.03,399134.38,856141.78,696986.42
1993,873466.01,526742.54,213068.7,592573.11,288412.77,747009.45,621169.35
1994,901473.65,550203.12,305310.65,577716.78,468817.07,807894.91,589295.91
1995,1057772.63,667057.03,295485.47,870303.09,274206.7,1196557.59,459273.75
1996,1022158.68,690689.45,17656.18,692271.02,180985.62,1063132.05,567031.02
1997,1214342.06,689888.28,306904.24,714014.74,311968.26,1263930.83,634031.61
1998,1322817.36,726355.38,233088.05,595643.15,377959.14,1277465.78,460404.11
1999,1452133.01,706208.92,141833.62,556993.5,243022.84,1566430.89,581681.57
2000,1469298.5,646768.36,102795.95,734743.05,203395.38,1484288.32,585351.28
2001,1560021.46,616438.64,348440.43,878015.84,451146.37,1832892.16,858279.0
2002,1928278.2,758206.35,5000.0,863149.09,5000.0,1914031.23,566562.04
2003,2198557.04,801000.87,64128.16,921305.24,72982.75,2198305.48,733233.56
2004,2415826.23,732253.63,5000.0,927871.96,122535.08,2362212.66,928357.9
2005,2517410.47,788718.34,5000.0,1004016.82,183181.5,2649499.95,820540.93
2006,2856220.98,775453.11,107455.49,900889.63,146513.29,2733211.25,946738.98
2007,2939886.62,854237.37,215549.25,1009563.64,5000.0,3071428.32,744936.22
2008,3109108.26,812566.1,6857.14,1080155.21,42615.62,3352735.69,851410.39
2009,3560101.77,845898.76,5000.0,1034857.95,20970.32,3838540.31,923910.79
2010,4038468.83,908713.13,131059.79,979180.14,5000.0,3991179.55,793938.51
2011,4475574.72,789416.83,117176.3,1093121.03,5000.0,4367119.46,802569.89
2012,5072321.34,770977.33,15041.05,1011447.83,5000.0,4884315.39,935177.37
