Healthcare and Health,Average Treatment Cost,$
trend,exponential_rising,stable_rising,bimodal_peak,volatile_rising
Year,Specialist Surgery,Standard Consultation,Preventative Screening,Rehabilitation Therapy
1958,4931.65,7284.68,6394.65,7663.26
1959,5408.8,7750.75,6647.41,8325.31
1960,5930.47,8152.87,7092.3,8868.97
1961,6560.49,8355.24,7523.85,9445.59
1962,7228.1,8691.03,7771.3,10022.32
1963,7906.33,9084.6,7955.45,10596.02
1964,8750.0,9574.23,8107.93,11263.92
1965,9566.89,9837.06,8167.32,11816.57
1966,10578.56,10245.48,8217.68,12275.14
1967,11662.07,10722.86,8286.29,12881.46
1968,12796.02,10933.53,8187.53,13391.25
1969,14072.12,11371.44,8245.52,14004.99
1970,15474.73,11776.58,8167.56,14598.31
1971,17039.53,12164.36,8172.7,15278.57
1972,18866.69,12502.56,8176.63,15691.22
1973,20625.47,12985.49,7876.17,16327.93
1974,22688.76,13245.03,7747.64,16884.34
1975,24949.39,13497.07,7414.76,17654.54
1976,27474.14,13977.35,7086.0,18097.94
1977,30129.49,14396.56,6627.8,18760.69
1978,33205.97,14592.72,6247.73,19283.95
