Healthcare and Health,Vaccination Rate,%
Year,Verdant Ward,District Alpha,Sector Beta,Azure Enclave,Crimson Quarter
trend,stable_rising,single_peak,stable_falling,periodic_stable,volatile_rising
1956,75.85,84.84,76.79,75.28,72.41
1957,78.57,87.89,83.58,90.92,81.11
1958,82.97,93.88,81.58,85.85,90.14
1959,82.69,100,83.34,66.15,97.98
1960,87.0,100,80.56,58.51,97.93
1961,90.98,100,82.61,74.6,100
1962,94.85,100,92.84,92.5,100
1963,100,100,89.15,85.6,100
1964,100,100,94.07,64.32,100
1965,100,100,90.61,56.86,100
1966,100,100,99.32,75.78,100
1967,100,100,96.56,92.96,100
1968,100,100,100,87.48,100
1969,100,100,100,64.41,100
1970,100,100,100,59.4,100
1971,100,100,100,74.71,100
1972,100,96.75,100,94.15,100
1973,100,88.85,100,86.28,100
1974,100,83.42,100,64.38,100
1975,100,78.7,100,55.43,100
