Energy and Utilities,Carbon Emissions,tons
trend,volatile_rising,stable_falling,exponential_falling,stable_rising,bimodal_valley,volatile_rising,exponential_rising
Year,TerraGen Power,Solara Energy Corp,Zephyr Waste Solutions,AquaFlow Utilities,Stellar Grid Solutions,Meridian Gas & Electric,Borealis Renewables
1991,5903801.48,7366914.73,4821780.68,8000586.76,447840.25,2994532.45,4303975.6
1992,6406707.11,7570774.95,4344341.05,8328351.39,43366.94,3246282.35,4709838.68
1993,6799712.17,7785127.3,3962762.57,8668454.16,43366.94,3489224.53,5240909.46
1994,7394603.29,8035988.22,3506125.46,9079673.5,43366.94,3675181.15,5773735.83
1995,7811685.06,8152443.62,3083356.44,9490782.08,43366.94,3887209.7,6246618.5
1996,8326609.81,8369688.48,2898654.23,9858257.42,43366.94,4141612.86,6993770.42
1997,8736791.43,8676589.98,2587948.17,10222625.45,43366.94,4449322.86,7614393.74
1998,9233334.84,8928918.49,2373746.52,10607240.25,43366.94,4639498.8,8362190.57
1999,9784142.98,9069552.47,2248662.13,10857104.99,43366.94,4916040.43,9194998.76
2000,10246928.08,9254010.42,1969970.05,11267913.31,43366.94,5127123.29,10124956.75
2001,10638087.59,9606120.87,1647100.96,11445053.78,411736.38,5378505.6,11126432.91
