Agriculture and Food Production,Agricultural Exports,$
trend,single_peak
Year,Port of Silverhaven
1971,13986944.27
1972,14163971.49
1973,14256627.56
1974,14628655.49
1975,15145569.01
1976,15639747.43
1977,16607593.6
1978,17552182.6
1979,18639277.21
1980,19909046.54
1981,21217038.5
1982,22266177.17
1983,23288952.02
1984,23812028.37
1985,24096715.5
1986,23803008.02
1987,23215221.31
1988,22257486.8
1989,21234016.25
1990,19862465.86
1991,18688396.63
1992,17484930.88
1993,16499331.08
1994,15808444.49
1995,15187742.77
1996,14553527.02
1997,14221977.46
1998,13959786.42
1999,13944304.97
