Human Resources and Employee Management,Cost per Hire,$
trend,stable_falling,single_peak,bimodal_valley,periodic_stable
Year,Meridian Dynamics,Skyward Systems,Lumina Solutions,Zenith Enterprises
2005,5978.27,7510.37,2560.64,2740.01
2006,6238.93,7919.27,2055.41,3425.1
2007,6350.4,8374.28,1530.69,3147.06
2008,6622.07,8914.63,1135.41,2343.49
2009,6788.43,9532.75,893.86,2107.34
2010,6969.81,10060.17,679.62,2760.43
2011,7136.83,10633.14,609.57,3410.28
2012,7345.28,11039.1,522.46,3161.97
2013,7511.76,11297.58,513.56,2335.96
2014,7662.14,11392.15,543.65,2080.62
2015,7787.58,11287.74,553.35,2752.74
2016,7990.1,11050.76,516.85,3410.31
2017,8182.78,10594.21,569.07,3149.97
2018,8380.18,10121.11,689.28,2338.07
2019,8504.48,9482.02,881.04,2105.16
2020,8765.42,8925.36,1179.68,2745.53
2021,8948.03,8375.36,1565.26,3416.91
2022,9137.12,7898.88,2027.29,3145.72
2023,9309.37,7524.18,2576.24,2342.5
