Real Estate and Housing Market,Vacancy Rate,%
trend,exponential_rising,volatile_rising,bimodal_peak,bimodal_peak
Year,Ironpeak Residences,Oceanview Condos,Willow Creek Estates,Skyline Towers
1974,5.06,5.0,6.86,6.85
1975,5.3,5.42,7.61,7.42
1976,5.86,6.14,7.7,7.88
1977,6.47,6.35,8.29,7.94
1978,7.17,6.66,8.54,8.79
1979,8.21,6.57,8.94,8.89
1980,8.88,7.11,8.9,8.81
1981,9.45,7.67,8.61,8.86
1982,10.73,8.58,8.45,8.48
1983,11.58,8.58,8.75,8.26
1984,13.0,9.01,8.37,8.21
1985,14.25,9.52,8.16,7.78
1986,15.71,9.87,7.92,7.96
1987,17.22,9.71,7.92,7.78
1988,18.94,10.24,7.75,7.8
1989,20.64,11.05,8.02,7.71
1990,23.1,11.75,8.13,8.51
1991,25.47,11.93,8.54,8.59
1992,27.92,12.13,8.84,8.59
1993,30.65,12.69,8.76,8.89
1994,33.66,13.33,8.92,8.73
1995,36.96,13.15,8.66,8.93
1996,40.52,13.98,8.51,8.59
1997,44.8,14.26,8.07,8.16
1998,49.42,14.53,7.67,7.86
1999,53.93,15.21,7.31,7.41
2000,59.5,15.33,6.8,6.69
