Agriculture and Food Production,Organic Farming Area,hectares
trend,stable_rising,single_valley,single_valley,stable_rising,periodic_stable,single_peak,volatile_falling
Year,Sunstone Farms,Ironwood Ranch,Misty Meadow Acres,Whispering Willows Estate,Riverbend Plantation,Golden Harvest Cooperative,Starfall Organics
1994,881.17,994.66,846.7,1080.12,1061.51,1038.15,1289.36
1995,1062.89,1120.66,987.3,894.71,1227.24,891.47,1018.61
1996,988.15,864.39,871.68,945.46,1161.85,1133.11,743.22
1997,1078.89,792.46,918.25,1104.54,738.84,1280.28,871.17
1998,1241.65,950.96,587.99,1475.13,808.08,1020.03,402.91
1999,1103.64,636.27,771.77,1332.55,1032.6,1122.6,378.56
2000,1285.65,836.81,602.31,1184.96,1326.53,1273.42,740.38
2001,1270.06,624.62,868.35,1174.88,1053.15,1357.76,156.51
2002,1453.62,382.69,497.46,1055.0,868.81,1723.45,837.56
2003,1517.89,556.89,422.11,1631.73,815.69,1550.01,460.07
2004,1460.42,557.64,170.34,1452.07,1106.24,1521.13,193.9
2005,1570.67,309.87,371.99,1256.92,1205.43,1698.81,145.34
2006,1540.31,294.4,397.03,1518.84,1118.15,1910.26,10.0
2007,1710.72,458.77,542.47,1387.8,764.54,1528.93,10.0
2008,1452.79,281.34,141.8,1731.66,634.01,1853.62,482.19
2009,1621.87,542.0,262.76,1994.29,918.38,1647.19,10.0
2010,1836.89,288.13,615.35,1620.82,1280.47,1755.44,10.0
2011,1991.54,389.82,493.94,1741.6,1180.32,1315.0,373.44
2012,1790.2,737.45,780.13,2076.76,916.78,1522.35,10.0
2013,2104.17,607.05,671.64,2163.43,734.87,1683.7,10.0
2014,1692.99,544.79,1099.23,2142.29,946.85,1121.08,10.0
2015,2276.51,903.43,731.76,2012.56,1158.72,1082.6,10.0
2016,1946.5,1041.29,752.98,2248.63,1191.88,1047.49,63.27
2017,2106.25,970.96,692.64,2294.95,786.33,1206.52,10.0
2018,2199.83,704.18,889.65,1919.46,779.56,1059.69,10.0
2019,2342.98,1007.46,1059.74,2491.78,1005.33,1231.33,10.0
2020,2326.72,877.66,1193.43,2312.75,1089.89,860.95,10.0
