Business and Finance,Customer Acquisition Cost,$
trend,stable_falling,bimodal_peak,bimodal_valley,single_valley
Year,NovaTech Solutions,Apex Systems,Ironclad Ventures,Horizon Enterprises
1953,123.35,134.76,61.66,77.64
1954,128.71,141.67,49.89,73.0
1955,132.47,146.98,36.11,65.51
1956,137.28,153.84,28.88,57.7
1957,137.72,157.82,23.25,50.9
1958,143.45,159.72,15.92,40.81
1959,145.86,161.01,12.87,34.08
1960,148.24,160.83,11.73,28.06
1961,153.11,162.56,12.62,23.65
1962,156.11,161.79,13.24,22.47
1963,161.98,161.34,12.88,24.24
1964,162.55,161.39,14.54,28.52
1965,170.1,160.41,14.41,34.64
1966,170.45,159.26,12.94,42.24
1967,177.23,157.36,21.25,49.55
1968,178.88,153.25,28.48,58.67
1969,184.08,147.38,38.89,65.03
1970,187.07,142.29,50.35,72.25
1971,189.63,135.45,63.27,77.91
