Education and Academics,Student-Teacher Ratio,ratio
Year,Borealis Graduate School,Aethelgard School of Arts,Arcane University,Celestial College,Silverhaven Polytechnic
trend,exponential_falling,single_valley,periodic_stable,periodic_stable,exponential_rising
1984,19.73,17.05,19.54,20.04,20.26
1985,18.38,15.72,24.82,24.78,22.2
1986,16.23,14.42,22.84,22.87,23.93
1987,14.81,12.94,17.29,17.03,26.74
1988,13.61,11.01,15.27,15.16,29.63
1989,11.81,8.87,20.05,19.9,31.83
1990,9.76,7.42,24.79,25.12,34.73
1991,9.25,5.56,22.79,22.93,38.86
1992,8.79,4.83,17.17,16.98,43.17
1993,7.45,4.48,15.44,15.26,46.63
1994,7.32,4.81,19.88,20.0,51.8
1995,6.0,6.18,24.78,24.84,57.33
1996,5.74,6.36,22.49,22.74,62.37
1997,5.02,10.07,17.03,16.84,68.85
1998,4.85,10.55,15.04,15.16,76.12
1999,4.44,12.67,19.79,19.97,83.86
2000,3.83,14.03,24.73,24.44,92.33
2001,2.66,14.8,22.97,22.91,101.99
2002,3.25,16.96,16.98,17.18,110.95
2003,1.91,18.0,15.27,15.38,122.39
