Business and Finance,Customer Acquisition Cost,$
trend,exponential_rising,exponential_falling
Year,Apex Systems,NovaTech Solutions
1955,96.47,58.89
1956,106.27,53.43
1957,113.65,47.66
1958,130.32,42.02
1959,143.7,39.01
1960,152.69,34.99
1961,170.14,31.28
1962,188.97,28.33
1963,206.05,24.6
1964,222.75,23.23
1965,248.69,21.73
1966,275.44,19.13
1967,301.96,16.48
1968,331.41,15.75
1969,365.59,13.69
1970,399.48,12.49
1971,438.55,10.98
1972,486.97,9.81
1973,536.22,8.23
1974,588.83,7.82
1975,646.02,8.47
1976,711.87,6.29
1977,781.86,5.97
1978,857.46,6.67
1979,945.14,6.62
1980,1041.46,5.46
1981,1147.16,4.61
