Energy and Utilities,Electricity Demand,MWh
trend,stable_rising,exponential_rising,exponential_falling,exponential_rising
Year,Zenith Utility Services,Azure Energy Distribution,Borealis Electric Cooperative,Silverhaven Hydro Authority
1966,936678849.22,1039613504.84,1013248956.48,986611501.35
1967,1038799343.86,1159244911.66,956950233.68,1094919223.2
1968,1102668236.24,1115137525.26,747183321.05,1127727085.91
1969,1165613198.93,1313713527.55,706323445.57,1303208198.82
1970,1178453730.16,1420972446.27,657783134.66,1468551579.13
1971,1154818553.69,1714135524.65,540932876.85,1614279242.75
1972,1271373239.5,1782551824.7,536977137.65,1778334882.2
1973,1262696601.81,1865353204.41,440588338.76,2045947649.8
