Agriculture and Food Production,Agricultural Exports,$
trend,volatile_rising,volatile_rising,stable_falling,exponential_falling,volatile_falling,single_valley
Year,Port of Aethelgard,Zenith Logistics,Stellar Commodities Group,Borealis Shipping Co.,Port of Silverhaven,Azure Port Authority
1959,11560638.15,7438476.43,9204532.48,10150611.49,10597782.25,4228202.46
1960,7119327.3,9811799.78,11350544.37,9251904.14,9994918.78,2589762.82
1961,12260964.13,12077038.14,11231223.21,8203502.49,8584682.43,4164783.5
1962,11784254.3,11955266.17,11283208.09,7647834.98,9112190.82,2638655.53
1963,12398809.5,14515465.19,11159454.39,7022758.11,8958779.35,3663931.67
1964,17540233.98,15490905.06,12026437.44,7395003.2,6944861.1,1786973.68
1965,14418586.73,14855629.33,13415446.23,5458491.14,7755924.93,4006195.02
1966,12164360.08,15640308.14,13186463.66,3590750.27,4369713.1,2193335.23
1967,14850929.43,14669815.68,14636003.29,3860853.37,4233598.14,2531921.76
1968,14904641.09,17820645.75,12868349.8,4113512.88,4643854.73,5493295.32
