Sports and Entertainment,Streaming Views,views/month
Year,CrimsonCast,StarburstTV,AetherNet Sports,OracleView,EchoWave Entertainment,NovaStream Live
trend,bimodal_valley,bimodal_valley,single_peak,single_valley,single_valley,exponential_rising
1976,43741.2,2000.0,253001.92,194041.44,211435.85,280373.35
1977,185109.2,75404.95,273080.18,147919.56,188857.83,210765.59
1978,5354.95,78246.86,303611.43,108308.84,111348.61,317092.28
1979,50687.83,28798.84,338075.33,162971.92,144179.26,254892.87
1980,2000.0,96050.14,321784.19,101309.32,116617.45,259267.14
1981,2000.0,2000.0,334341.65,53097.58,113896.94,279741.16
1982,54747.91,68785.13,314394.36,139319.05,32451.06,304465.35
1983,2000.0,26305.06,352520.95,77017.91,110749.02,340046.6
1984,2000.0,56368.77,378964.66,6704.77,23045.26,414117.98
1985,2000.0,2000.0,330984.73,73006.8,75122.14,489549.1
1986,2000.0,2000.0,411197.82,156006.56,146814.56,519553.8
1987,30352.0,29641.79,354818.51,45947.86,117501.2,463029.13
1988,2000.0,5996.94,258711.64,141975.09,78369.91,599381.42
1989,2000.0,79631.4,247772.21,58132.28,176074.38,688437.1
1990,23394.02,36122.38,240374.24,153637.31,75910.86,716847.99
1991,17377.09,77356.27,251290.16,121237.0,175127.13,846148.03
1992,59086.24,2000.0,254722.49,199828.19,180613.38,982580.88
1993,65825.05,29959.3,256318.71,189403.11,149243.31,993078.12
