Real Estate and Housing Market,Price Index,index
Year,Nova Exchange,Starfall Mart,Echo Trade,Ironwood Market,Aether Market,Silverleaf Emporium,Crimson Bazaar
trend,volatile_falling,periodic_stable,single_peak,volatile_rising,stable_falling,bimodal_peak,stable_rising
1981,132.5,156.49,154.35,149.38,155.99,225.52,141.65
1982,144.56,183.42,165.94,170.02,155.91,240.17,161.8
1983,136.0,161.59,185.34,167.61,157.31,252.93,166.68
1984,129.4,124.68,192.41,205.9,150.79,260.07,175.99
1985,133.2,111.95,198.31,195.9,167.18,282.95,182.42
1986,124.62,150.65,209.47,192.62,181.69,262.94,179.63
1987,114.0,174.97,242.24,208.07,178.6,277.59,178.57
1988,92.44,166.6,232.19,203.1,186.4,261.98,201.81
1989,73.6,128.9,251.05,226.03,184.0,273.21,221.32
1990,66.0,124.49,259.09,283.88,186.07,280.87,203.85
1991,77.08,154.87,259.74,270.91,199.26,270.75,231.29
1992,50.07,194.12,244.2,290.8,195.32,258.85,230.0
1993,19.21,174.97,249.77,303.55,200.91,270.18,242.32
1994,16.32,126.4,242.32,317.08,225.69,259.6,251.31
1995,24.93,110.73,218.89,304.62,218.89,283.38,250.48
1996,1.5,155.73,232.82,327.05,216.65,265.51,270.51
1997,1.5,187.87,208.43,334.74,208.68,268.96,271.61
1998,1.5,167.11,189.48,348.03,215.88,254.32,262.35
1999,1.5,124.8,177.24,348.8,232.72,258.28,277.02
2000,1.5,112.37,163.07,369.33,236.75,242.22,290.29
2001,1.5,147.75,176.73,364.96,221.23,227.08,300.23
2002,1.5,187.37,161.82,370.57,252.19,219.64,319.39
