Sports and Entertainment,Stadium Attendance,tickets/session
Year,Ironwood Classic,Echo Bowl,Aether Cup Finals,Nova Games,Silverleaf Open,Crimson Clash
trend,bimodal_peak,periodic_stable,exponential_rising,periodic_stable,volatile_rising,exponential_rising
1973,67492.65,50105.08,53021.94,48346.24,42607.99,45803.99
1974,65965.23,50999.69,58281.84,53317.32,60363.76,57058.2
1975,78210.48,54789.82,57942.35,46188.79,64442.03,64422.7
1976,80465.62,46498.51,63208.27,46274.29,63372.38,73940.1
1977,77962.32,53019.55,81656.88,48357.19,59720.24,70065.44
1978,87697.31,50106.19,79012.95,54670.56,66987.15,81225.29
1979,79180.45,51875.07,85511.57,53867.53,80986.6,83672.48
1980,87660.05,47844.29,93550.12,47257.82,86179.4,94150.89
1981,85969.32,48453.41,109144.33,47744.2,101023.96,110963.93
1982,91549.06,53080.45,113149.05,51342.64,82433.62,122729.14
1983,88704.43,52003.26,131791.21,50687.56,81563.22,128051.12
1984,85209.07,48669.47,144647.52,46798.8,96949.0,154640.02
1985,79932.53,52045.61,147812.57,53178.99,94869.31,158370.31
1986,77498.11,56995.66,175956.31,54526.95,95629.14,164147.42
1987,78337.1,48207.88,189471.84,47674.6,99121.66,185920.12
1988,75272.57,47443.46,206496.97,44997.47,104321.66,211939.63
1989,81581.59,50810.93,230663.5,50523.68,108538.98,229019.39
1990,90139.4,54451.62,250505.35,53133.97,114512.15,250288.94
1991,89799.86,50751.83,277242.03,47731.11,117606.18,285642.27
1992,83017.06,46162.75,316308.9,43705.86,119426.33,309465.06
1993,89274.72,49500.11,326132.83,48387.59,130522.1,335386.45
1994,93578.65,51708.28,364942.98,53759.51,126696.31,370045.32
1995,84773.61,50627.71,400759.75,52303.23,149703.71,411341.4
1996,87155.01,49395.03,444088.86,44978.18,134739.0,446261.14
1997,83087.41,47577.27,494501.06,48378.1,153093.22,487447.27
1998,77499.18,51244.6,545926.67,55783.45,149021.94,537450.0
1999,73142.79,49859.08,592995.38,52397.2,163983.96,598490.79
2000,61007.26,48701.72,651927.36,47738.59,163386.57,647295.72
2001,68864.1,48663.05,719795.78,49461.93,151695.53,730646.15
