Transportation and Logistics,Cargo Shipments,tons/month
trend,exponential_rising,volatile_falling,exponential_rising,bimodal_peak,bimodal_valley,stable_falling,stable_rising
Year,Air Express,Rail Networks,Continental Freight,Cross-Border Trucks,QuickShip Logistics,Parcel Services,Oceanic Carriers
1957,126800.56,144266.6,85839.51,176814.75,62922.68,130841.18,119836.46
1958,75154.26,99796.3,80369.38,127025.86,1000.0,67974.95,154541.31
1959,123994.26,98697.33,123907.36,178532.42,23875.55,117237.5,89289.41
1960,122362.46,71670.14,128198.58,202723.12,1000.0,107287.04,138108.76
1961,143356.03,93064.22,155223.43,195765.35,20013.5,120068.74,115748.33
1962,120105.27,95202.83,157090.35,215420.71,29135.45,96265.54,160679.19
1963,202181.64,11336.15,202316.04,187461.85,1000.0,115809.46,164787.55
1964,215719.34,53923.42,222664.61,214668.01,5152.6,128482.39,137887.48
1965,201375.24,71848.92,219141.27,194385.57,1000.0,149095.63,139467.11
1966,227637.92,22403.22,252259.79,187933.46,6842.96,186613.48,150974.68
1967,276166.28,32497.22,270395.79,212620.19,1000.0,130423.5,134036.1
1968,275819.27,71311.57,264371.8,187424.38,1000.0,135999.07,166922.39
1969,311713.11,61702.84,320420.4,168576.46,48483.95,160887.48,160449.67
1970,347588.39,1000.0,362515.99,162128.18,14637.9,141763.5,173583.41
1971,388617.02,36097.36,368843.84,206376.92,7953.66,155723.42,184600.98
1972,425309.62,28404.27,395512.06,185121.57,55376.69,123481.46,168441.95
1973,452830.0,40986.52,453127.96,169768.72,1000.0,202890.1,181640.1
1974,502320.86,1000.0,464407.18,141204.1,37792.21,174627.23,224548.79
