Social Media and Digital Media and Streaming,Subscription Revenue,$
Year,NovaStream,OracleFeed,AetherNet,Luminara,Starburst Online,EchoWave,CrimsonLink
trend,single_peak,bimodal_peak,stable_falling,single_valley,single_valley,exponential_falling,bimodal_peak
1971,270735183.92,357320049.8,142286653.06,169529971.7,142632403.49,161601104.69,269030363.54
1972,282006793.17,264710626.23,153890701.48,177156849.03,126931262.28,182830615.5,400211793.04
1973,342011031.78,416127661.53,241158150.98,81983441.06,191840841.27,217148658.64,325157568.76
1974,282072103.77,391862899.32,164066844.3,51845723.78,164486781.71,169327421.73,387815440.64
1975,279359390.7,383971598.52,196822607.82,55833915.98,73216051.14,128282171.2,373730277.49
1976,353326649.27,348467505.64,159488489.39,67526153.47,101995366.88,129286315.94,388862079.12
1977,442530317.7,437253963.98,331055879.06,25739485.71,41549844.06,159475507.92,400997706.19
1978,315677820.26,331392181.61,242132217.45,104161766.87,2000000.0,70945169.43,462020341.19
1979,364246483.78,383256288.34,219961427.54,34798029.56,36820213.77,109004208.31,385004356.2
1980,317686053.07,439261960.54,257599603.79,77038921.54,50350073.26,115289224.55,400926993.89
1981,375270709.42,350967601.71,287704764.33,76836095.05,94189807.72,60605238.62,390693393.05
1982,354817683.32,447580069.8,239804944.2,59207461.01,133291714.0,110382215.41,379196427.4
1983,356941887.82,366465273.89,322533511.02,92144936.44,107100204.49,78378280.91,396561626.42
1984,233230025.11,359614632.26,318386400.93,83324082.66,164571180.96,88296565.89,427007367.53
1985,271736458.16,375478849.92,242562452.37,79806221.4,188760626.75,13969000.95,280046983.87
1986,237825699.48,370097149.82,255225244.22,147500896.15,175812043.68,7557923.28,296565443.13
1987,264394115.34,321300440.19,300387032.87,183491681.07,114328422.43,12111706.81,319221905.97
