Social Media and Digital Media and Streaming,Ad Revenue,$
Year,Luminara,AetherNet,EchoWave,OracleFeed,CrimsonLink,NovaStream
trend,exponential_rising,exponential_rising,periodic_stable,bimodal_peak,exponential_falling,exponential_rising
1983,616194224.83,567967249.04,513347186.13,904719714.1,729992672.45,344441766.55
1984,694965987.94,653333754.52,680796810.35,877363990.47,571585052.26,892937518.71
1985,648467536.23,618742675.98,565250403.23,772722086.3,531268609.68,909640393.67
1986,402713708.62,592006888.48,470151372.24,892073825.93,230063774.36,654350523.66
1987,794435978.47,702786059.66,375424077.86,970016437.67,191786406.4,497638227.55
1988,766455346.04,900257746.37,449352137.85,1024739266.37,239780431.01,698347411.88
1989,868523358.52,1006115074.4,709306460.03,1012069170.19,356056908.76,917958740.24
1990,1122829669.37,1054569066.8,536491190.11,1161481312.38,145854035.58,850472199.15
1991,1034867801.91,1124905351.82,475918516.86,1069660043.34,94713040.53,1278169752.84
1992,1234295137.97,1249708785.95,358693156.28,936942746.95,186270766.91,1239482122.73
1993,1367750658.02,1294735218.86,485012883.28,846327293.43,233544335.53,1293333990.29
1994,1524707853.12,1366402765.52,677928410.79,837290111.78,12002187.17,1605824956.85
1995,1553757901.36,1442390825.08,642645006.11,739432942.2,5000000.0,1510371420.56
1996,1791773322.19,1751366277.08,281773072.53,1047911577.27,29163373.71,1627678434.75
