Business and Finance,Revenue Growth,$
trend,single_peak,exponential_falling,single_valley,bimodal_peak,volatile_falling
Year,Vanguard Dynamics,Horizon Enterprises,Starlight Innovations,NovaTech Solutions,Ironclad Ventures
1966,11946412.31,8504695.54,8962741.89,13458789.3,9713374.02
1967,12991125.67,9280698.25,9207693.8,14390625.25,9036220.02
1968,14212114.37,6632733.59,8085054.62,18637715.24,8214810.64
1969,13202325.2,6763429.02,7636250.73,18020685.38,8346018.94
1970,15059389.23,6000708.46,7780191.14,19154299.21,5007782.2
1971,16077970.54,6073404.16,3696032.97,17527668.22,8352839.84
1972,15764353.24,5129264.37,1979271.03,18318319.12,6597395.46
1973,17318150.41,5129040.32,2063502.38,20467561.35,5684888.98
1974,19186599.83,4211137.13,2493383.51,19356203.46,6512370.09
1975,17996939.1,5527584.01,1051761.94,18638465.42,4038806.38
1976,16318715.11,4156302.24,2510923.88,19245917.26,7606113.09
1977,16832084.98,2394416.3,4163174.12,20120130.16,2708209.58
1978,17016536.73,3856433.48,4680852.96,19524689.98,1560908.65
1979,16562208.6,2107419.23,5267509.39,18963326.4,2626143.7
1980,15957765.25,2938114.59,3954349.09,17497550.61,3115754.91
1981,13039538.51,1164577.55,6667013.46,18449310.57,957378.26
1982,13790341.53,331161.03,6402855.38,17476188.98,100000.0
1983,11563813.99,1273342.07,7392186.53,18553492.97,1372330.06
1984,13206232.83,1596154.56,7897421.3,16667663.73,100000.0
1985,10005108.06,1078657.37,8056921.1,13481206.21,100000.0
