Science and Engineering,Patent Applications,applications
Year,Starburst Enterprises,Crimson Group,Nova Industries,Aether Corp,Echo Dynamics,Luminara Solutions
trend,stable_falling,volatile_rising,volatile_rising,single_peak,exponential_rising,bimodal_valley
1998,6168.91,4539.46,4113.64,5762.25,5190.08,1845.56
1999,5554.01,5003.4,5613.0,6096.1,5123.69,1819.85
2000,4425.67,4803.44,5544.73,7223.18,5817.19,2250.44
2001,6509.51,7259.36,6200.06,6740.57,6602.93,50.0
2002,4304.43,7418.65,7243.81,7854.11,7619.32,487.69
2003,6310.45,7819.02,7759.19,8085.77,8341.02,50.0
2004,6223.3,7750.51,7177.51,8432.18,8465.34,50.0
2005,5897.75,6247.7,8208.52,7845.89,8902.04,50.0
2006,5656.98,6312.97,7251.8,8816.16,11009.02,50.0
2007,6045.52,8788.29,8565.04,9046.98,11882.59,579.71
2008,6626.2,9620.04,10300.22,7987.85,12877.82,50.0
2009,6368.5,9001.5,9850.55,8762.62,12962.26,114.02
2010,6874.45,10340.44,11479.4,6583.6,15642.3,485.74
2011,5736.5,9856.88,10507.33,7486.73,17277.53,1573.64
2012,7413.51,11295.92,10128.49,6925.96,19532.4,1495.65
2013,8145.58,10396.63,10441.76,6839.19,19312.72,1271.92
2014,7391.51,13174.97,10572.69,6500.85,22806.14,1641.05
