Human Resources and Employee Management,Absenteeism Rate,%
trend,single_peak,single_peak
Year,Administrative Support,Research & Development
1994,4.85,3.4
1995,4.95,3.5
1996,5.1,3.59
1997,5.34,3.73
1998,5.63,3.95
1999,5.96,4.18
2000,6.35,4.46
2001,6.81,4.74
2002,7.19,5.04
2003,7.58,5.3
2004,7.89,5.52
2005,8.07,5.66
2006,8.15,5.72
2007,8.07,5.66
2008,7.87,5.53
2009,7.61,5.31
2010,7.18,5.04
2011,6.77,4.73
2012,6.32,4.45
2013,5.97,4.19
2014,5.61,3.94
2015,5.35,3.75
2016,5.13,3.61
2017,4.92,3.48
2018,4.85,3.4
2019,4.77,3.35
