Retail and E-commerce,Return Rate,%
trend,exponential_rising,exponential_falling,bimodal_valley,bimodal_valley,stable_falling,bimodal_peak
Year,Direct-to-Consumer,Beauty Products,Flash Sale Platforms,Furniture Sellers,Clothing Merchants,Electronics Retailers
1956,7.98,10.23,5.97,4.34,10.35,13.15
1957,11.08,9.12,5.61,6.54,9.89,14.65
1958,13.06,6.28,2.76,7.57,10.05,15.12
1959,11.97,5.55,5.16,3.67,9.99,14.32
1960,14.98,11.16,3.91,1.98,14.31,14.19
1961,18.71,7.05,0.1,1.12,11.92,18.77
1962,16.7,6.22,0.1,2.46,11.71,20.17
1963,17.93,5.21,4.46,0.61,11.21,13.28
1964,20.3,7.22,0.7,3.66,10.72,17.51
1965,27.98,4.0,5.94,0.16,9.98,18.72
1966,23.56,2.7,0.88,2.79,10.75,17.21
1967,26.96,3.44,0.94,2.68,13.4,17.08
1968,35.22,5.28,5.6,3.58,17.3,14.93
1969,35.56,2.21,0.92,5.4,13.58,16.24
1970,37.56,2.36,2.45,4.7,17.96,12.19
1971,39.58,5.64,3.02,0.4,10.55,13.48
1972,46.52,7.43,6.85,2.13,11.93,14.74
1973,50.13,1.38,4.4,5.05,18.41,14.25
1974,53.94,0.41,4.02,4.84,19.3,17.79
1975,62.23,0.29,5.14,2.25,16.62,17.15
1976,69.33,2.69,0.46,0.1,17.08,17.54
1977,73.61,0.1,3.19,1.12,18.63,18.12
1978,79.67,0.1,2.68,6.02,17.52,18.61
1979,90.11,1.52,4.34,1.73,13.25,18.72
1980,99.97,0.1,7.06,5.06,17.36,15.33
1981,100,3.91,0.1,7.76,17.41,16.95
1982,100,5.4,5.26,3.4,20.51,15.11
1983,100,5.1,3.28,4.74,20.83,15.05
1984,100,1.75,11.84,7.61,20.33,11.49
1985,100,0.1,6.22,9.32,19.82,11.09
