Food and Beverage Industry,Average Order Value,$
Year,Breakfast Rush Order,Large Group Booking,Standard Dine-in,Seasonal Special Order
trend,volatile_rising,exponential_rising,exponential_falling,single_peak
1964,30.48,29.74,27.42,30.03
1965,33.54,34.54,26.18,31.28
1966,40.22,36.24,23.06,30.3
1967,37.75,37.76,22.83,34.28
1968,40.04,43.24,18.68,35.3
1969,40.43,45.97,19.02,35.66
1970,44.71,54.71,16.89,34.98
1971,47.66,57.86,14.89,39.35
1972,52.47,62.42,11.45,42.23
1973,49.86,67.18,11.04,43.67
1974,52.37,79.19,8.3,46.6
1975,57.1,84.15,9.48,46.81
1976,56.79,94.78,6.56,48.4
1977,64.63,104.14,5.35,53.24
1978,59.47,116.45,5.97,50.87
1979,64.77,123.87,9.02,52.68
1980,69.58,138.91,3.43,50.47
1981,75.0,153.91,5.0,51.0
1982,70.12,166.89,4.59,47.89
1983,79.12,181.48,4.99,43.38
1984,73.85,200.85,3.02,41.03
1985,79.12,221.46,2.62,37.72
1986,82.49,244.84,2.7,35.7
1987,84.95,267.69,2.19,37.06
1988,87.69,295.4,0.66,33.93
1989,87.86,324.49,1.5,33.5
1990,89.64,354.91,3.11,29.91
1991,91.92,391.91,2.55,30.2
1992,97.83,433.38,1.2,27.71
