Education and Academics,Research Funding,$
trend,bimodal_peak,bimodal_peak
Year,Arcane University,Meridian Academy
1983,637389.69,731534.5
1984,702057.49,591944.36
1985,760756.01,813911.76
1986,733353.3,752679.03
1987,770434.68,834406.09
1988,875036.82,890028.89
1989,831150.35,823793.17
1990,938223.82,941166.65
1991,773110.88,973721.36
1992,911318.07,898626.34
1993,840349.54,743713.45
1994,820589.97,910750.33
1995,820264.46,649591.38
1996,714774.8,766811.35
1997,643793.96,807135.38
1998,655044.57,788965.75
1999,803350.04,844703.33
2000,821966.93,900816.96
2001,801911.88,872219.71
2002,840418.15,890431.07
2003,818013.66,985256.39
2004,820535.31,951853.21
2005,796104.94,869435.0
2006,748387.08,842239.5
2007,820128.5,833574.17
2008,856158.97,702870.59
2009,726459.31,722632.48
2010,690084.21,728657.19
