Energy and Utilities,Carbon Emissions,tons
trend,periodic_stable,bimodal_peak
Year,TerraGen Power,AquaFlow Utilities
1974,5609816.66,5777431.15
1975,6935456.27,6214970.78
1976,6406577.01,6527274.95
1977,4755831.12,7004789.59
1978,4289820.5,7350741.38
1979,5588324.0,7600057.43
1980,6919583.99,7814703.65
1981,6452454.53,7939265.9
1982,4760236.0,7804689.54
1983,4219521.18,7712079.32
1984,5594051.8,7522717.62
1985,6921240.68,7292145.64
1986,6444930.09,7145667.53
1987,4714165.65,6896557.93
1988,4273718.87,6751116.76
1989,5641788.41,6770754.56
1990,6972647.43,6843026.23
1991,6459494.1,7021828.84
1992,4789345.65,7175611.54
1993,4257778.96,7555908.88
1994,5635454.96,7682769.92
1995,6902936.86,7812067.55
1996,6408676.32,7896082.95
1997,4785655.3,7808060.27
1998,4261558.26,7708328.93
1999,5578111.95,7307667.9
2000,6932184.15,6977407.08
2001,6469440.43,6506748.8
2002,4792230.81,6196585.41
2003,4261221.52,5812447.41
