Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,volatile_rising,volatile_rising,bimodal_valley,single_peak,exponential_rising,exponential_rising,bimodal_peak
Year,Starburst Online,OracleFeed,CrimsonLink,AetherNet,NovaStream,EchoWave,Luminara
1974,188995805.53,210893978.88,34045554.6,290767445.0,144033703.92,199355536.11,495616562.01
1975,216612825.71,229322103.62,13921860.22,310992421.02,160423435.29,216012209.86,529271877.35
1976,228818319.72,245252291.38,1803815.84,332613338.82,178328538.23,236787655.82,560120003.84
1977,254888399.55,262026466.25,1803815.84,344048654.78,196173717.29,261318246.59,585508374.56
1978,263848668.41,273853073.0,1803815.84,343714243.21,205976650.13,282655665.97,610320482.1
1979,283133602.93,285829357.81,1803815.84,351710239.55,231829675.59,309584323.18,622481782.41
1980,301880848.74,302225436.2,1803815.84,344818359.64,260225881.96,337024452.71,627294647.22
1981,303060449.18,314999360.77,1803815.84,341676489.22,284736687.5,372660559.79,621954072.16
1982,316025343.77,327531312.64,1803815.84,332367238.01,307585281.3,408447722.58,614065077.36
1983,344294186.05,349568013.39,1803815.84,319561958.29,339096019.31,449832567.16,587072706.49
1984,352450722.18,366393557.5,1803815.84,297568410.01,375591350.41,491302303.85,558453986.38
1985,372110552.15,382712831.01,17180795.25,271807370.97,414610710.39,537633689.83,525793326.99
