Tourism and Hospitality,Loyalty Program Members,members
trend,volatile_rising,single_valley,stable_rising
Year,Frequent Flyers,Adventure Seekers,Hotel Rewards
1998,1254800.85,521602.8,559834.1
1999,1323850.53,433096.93,589295.75
2000,1397776.81,367651.36,624607.16
2001,1472396.95,307538.94,653678.22
2002,1679213.96,257357.92,687768.68
2003,1758522.09,212131.05,703720.49
2004,1832894.54,189714.75,729749.83
2005,1872883.14,162879.6,773544.66
2006,2023188.62,187114.81,799389.77
2007,2117225.71,214524.12,827241.9
2008,2265892.65,252868.3,836323.83
2009,2349987.62,321803.11,869774.09
2010,2394763.01,389338.91,911339.72
2011,2519021.01,445616.94,939465.08
2012,2637385.93,506251.57,961387.09
2013,2772748.49,547465.42,988227.46
