Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,stable_rising,bimodal_peak,single_peak,exponential_falling
Year,MegaMall Chain,Tech Gadget Hubs,Outlet Centers,Pop-Up Shops
1993,21008.82,26663.74,18149.65,16209.95
1994,24174.01,24247.89,30099.86,15723.2
1995,20644.27,32267.45,27481.86,16248.14
1996,19264.86,25910.16,23448.6,11998.35
1997,20213.92,34366.44,27712.18,14991.9
1998,20064.98,36188.27,24768.56,13158.84
1999,25331.31,32838.34,27416.19,10501.24
2000,20829.84,38842.48,33225.5,13537.87
2001,31373.51,34649.88,30682.44,11986.54
2002,21951.6,37148.79,31415.67,4667.23
2003,27169.9,36306.07,31204.86,12051.78
2004,34715.65,30782.52,37812.94,7095.77
2005,32351.43,27809.69,35648.45,6337.7
2006,24641.01,31196.0,32789.11,8570.8
2007,41842.97,32321.97,33674.7,1472.91
2008,33551.01,39513.85,29917.67,7098.95
2009,33067.27,27124.33,27905.66,8126.44
2010,39782.3,39114.75,25955.59,200.0
2011,36570.22,31101.7,26837.74,200.0
2012,44038.02,37681.76,21911.53,200.0
2013,43332.96,34344.72,14710.93,520.02
2014,38417.16,41649.32,20736.44,200.0
2015,46442.76,35301.45,29545.55,4548.14
2016,44736.71,25882.77,20493.36,2415.37
