Cultural Trends and Influences,Theater Attendance,tickets
trend,exponential_rising
Year,Meridian Drama Circle
1955,306015.96
1956,328978.5
1957,368521.72
1958,397974.38
1959,442609.43
1960,485377.7
1961,536374.53
1962,588942.54
1963,647722.7
1964,717929.56
1965,781335.68
1966,863541.46
1967,943984.21
1968,1038318.58
1969,1141203.61
1970,1263477.08
1971,1386793.16
1972,1526710.01
1973,1679375.42
1974,1844265.32
1975,2033600.56
1976,2239155.14
1977,2461787.52
1978,2708404.88
1979,2977949.06
1980,3271368.12
1981,3601585.77
1982,3962638.14
1983,4360136.91
