Energy and Utilities,Renewable Energy Production,MWh
trend,bimodal_valley,exponential_falling,bimodal_peak
Year,Verdant Biomass Facility,Riverbend Hydro Station,Azure Tide Energy
1985,50932264.67,100388280.76,127630175.54
1986,43152586.02,90188334.71,137994366.18
1987,36073078.11,82033303.85,145161299.61
1988,29469783.08,70964745.59,153186601.66
1989,24818525.53,65780693.72,160344707.8
1990,18623341.58,57738442.43,163731221.23
1991,19801852.55,51640984.69,165526964.42
1992,18846251.75,47380806.5,165437530.28
1993,20376662.66,42105570.12,161385905.86
1994,25013861.94,38905038.87,160673503.13
1995,28232802.68,33429348.02,156322359.56
1996,31889525.79,32772459.1,150669107.14
1997,33114934.92,28577032.81,145800088.74
1998,34557104.76,27298897.44,144564227.53
1999,34279512.27,22906395.52,147244851.5
2000,31646581.34,18715784.85,147797689.38
2001,29058411.0,18408719.95,153104126.57
2002,24826987.34,18288872.49,158907887.64
2003,22523046.07,15498235.23,158553206.03
2004,19080463.66,13419354.76,163222944.03
2005,18257727.57,11351679.97,161972715.65
2006,21860424.61,10155265.78,162474287.25
2007,24050661.58,10626839.98,158607796.81
2008,29817073.72,8941592.1,154040842.42
2009,37650825.55,8561422.81,144791214.46
2010,43269725.7,6673678.51,136948667.56
2011,51683249.16,6523084.71,126507587.72
