Real Estate and Housing Market,Home Sales,units/month
Year,Starfall Mart,Aether Market,Nova Exchange,Silverleaf Emporium,Ironwood Market,Crimson Bazaar
trend,exponential_rising,stable_falling,volatile_falling,periodic_stable,single_peak,exponential_falling
1985,1130.62,920.11,849.87,989.72,972.85,977.12
1986,1078.5,1110.39,900.72,1287.17,1028.58,835.35
1987,1217.98,909.19,878.42,1190.98,1220.2,803.36
1988,1380.51,972.02,746.83,842.1,1087.33,759.05
1989,1529.09,1104.5,978.93,796.57,1229.67,571.57
1990,1652.21,1233.75,815.48,933.01,1340.55,611.55
1991,1656.46,1339.78,862.97,1224.76,1318.16,575.44
1992,2033.7,1203.18,369.69,1156.05,1521.67,488.79
1993,2269.98,1316.48,527.78,832.48,1614.96,413.53
1994,2357.08,1357.95,551.93,732.49,1730.58,299.79
1995,2650.58,1391.11,648.22,998.61,1903.47,318.04
1996,2891.19,1458.2,295.75,1292.61,1828.3,328.5
1997,3057.63,1481.14,10.0,1138.21,1712.55,283.28
1998,3583.92,1281.74,10.0,864.26,1726.62,253.69
1999,3817.58,1457.33,40.03,755.71,1559.7,208.35
2000,4142.63,1508.87,294.09,1026.81,1706.2,97.04
2001,4572.25,1627.63,80.2,1260.31,1670.34,311.2
2002,5037.48,1579.64,53.69,1092.92,1459.08,180.28
2003,5563.25,1466.88,10.0,845.86,1431.71,166.15
2004,6065.69,1622.24,10.0,802.1,1293.44,216.19
2005,6652.06,1559.86,10.0,1111.92,1262.82,76.69
2006,7498.42,1595.81,10.0,1235.49,1223.82,48.94
2007,8087.9,1650.08,10.0,1161.98,1143.79,39.03
2008,8876.58,1635.94,10.0,832.61,1023.22,50.87
2009,9739.37,1600.43,10.0,832.92,914.35,71.15
2010,10786.66,1736.48,10.0,900.41,1024.31,74.13
