Tourism and Hospitality,Average Room Price,$
trend,exponential_falling,bimodal_valley,single_peak,exponential_rising
Year,Desert Camps,City Center Hotels,Cruise Ships,Ski Lodges
1956,202.65,20.19,350.55,329.67
1957,183.95,3.46,369.12,362.86
1958,163.96,2.96,386.21,394.86
1959,143.24,2.96,412.94,430.1
1960,134.19,2.96,416.62,477.32
1961,116.04,2.96,419.54,511.61
1962,115.45,2.96,420.07,562.9
1963,93.47,2.96,404.03,623.54
1964,85.25,2.96,394.4,680.02
1965,76.37,2.96,370.78,735.84
1966,67.81,25.22,354.78,815.71
