Sports and Entertainment,Sponsorship Revenue,$
trend,volatile_falling,single_peak
Year,Golden Griffins,Shadowfen Spectres
1977,347734.17,433341.92
1978,315685.19,461914.92
1979,305239.14,455199.98
1980,270211.69,480430.98
1981,251072.76,489196.27
1982,227942.55,517658.36
1983,216298.21,541488.65
1984,203261.92,567242.8
1985,182063.68,610072.69
1986,149801.61,663947.79
1987,137943.17,685925.64
1988,118663.75,718352.03
1989,99461.12,756301.03
1990,78764.05,769335.82
1991,59031.27,771041.99
1992,31785.09,781964.79
1993,9319.94,752335.82
1994,3378.11,721505.19
1995,3378.11,672668.1
1996,3378.11,632959.11
1997,3378.11,606413.83
1998,3378.11,582517.51
1999,3378.11,547638.91
2000,3378.11,513381.65
2001,3378.11,490022.28
2002,3378.11,482090.65
2003,3378.11,467254.74
2004,3378.11,447827.51
2005,3378.11,454850.6
2006,3378.11,447434.42
