Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,single_peak,periodic_stable,volatile_falling
Year,Meridian Art Collective,Stellar Exhibit Hall,Zenith Sculpture Garden
1994,658025.47,172106.54,415034.35
1995,701998.31,214067.09,391048.63
1996,730128.04,195739.24,373785.82
1997,757732.43,146715.03,339756.62
1998,778563.53,134111.54,316385.19
1999,791180.12,168679.05,290721.32
2000,789762.48,212385.23,261014.85
2001,764829.13,198775.63,240178.18
2002,736110.65,146001.01,218309.34
2003,701612.4,126540.22,195014.35
2004,657113.5,172548.71,167304.36
