Healthcare and Health,Average Treatment Cost,$
Year,Pediatric Treatment,Standard Consultation,Specialist Surgery,Emergency Procedure,Rehabilitation Therapy
trend,bimodal_peak,stable_falling,bimodal_peak,single_valley,single_peak
1950,7284.18,5248.15,6612.97,4450.37,4510.34
1951,7424.55,4935.14,6639.88,4357.81,5024.79
1952,7225.22,4898.38,7283.28,4157.35,5685.36
1953,8036.15,5386.47,8852.12,3585.24,5561.04
1954,8251.25,4935.76,8571.21,3542.87,6759.97
1955,8905.95,6123.33,8705.58,2934.42,7091.94
1956,8933.43,5953.7,8770.17,2773.7,7244.65
1957,9248.54,5771.02,8832.46,1916.31,7858.43
1958,9222.45,6347.94,8775.59,1968.93,7996.42
1959,8719.73,6127.88,9163.55,1526.23,8506.46
1960,9013.1,6240.08,8701.36,1245.35,8414.96
1961,8366.87,6494.27,9342.72,1034.72,8450.25
1962,8635.01,6882.97,8667.96,2045.55,8546.31
1963,8527.57,6602.58,8174.77,1322.11,9092.52
1964,8676.07,7900.0,9343.81,2376.71,8726.28
1965,7862.02,7118.62,8671.74,2730.21,8242.24
1966,8925.91,6603.71,9473.19,2667.08,7495.64
1967,8812.07,7336.7,8367.91,3258.49,6819.67
1968,8943.58,7636.8,9468.22,3868.84,6362.56
1969,9346.47,6913.62,8614.63,3290.08,6441.03
1970,8112.76,7661.4,8618.76,3803.91,5793.27
1971,8618.91,8300.28,8306.25,3628.23,4495.13
1972,7836.53,8680.58,7744.34,4997.91,5106.01
1973,7106.71,7849.29,7405.34,4686.64,5041.46
