Social Media and Digital Media and Streaming,Platform Traffic,visits/month
trend,bimodal_valley,volatile_rising
Year,Starburst Online,CrimsonLink
1957,3704591043.98,5976125807.12
1958,3828349423.22,7060693387.93
1959,1589228431.33,5089862809.07
1960,4022941059.16,7134358372.69
1961,3135366430.95,7010288633.37
1962,1167219372.6,5685134104.3
1963,2520691532.69,12249992378.71
1964,50000000.0,11620143350.02
1965,50000000.0,3477846813.55
1966,1060001480.55,10060786055.92
1967,1753805704.93,8501344883.13
1968,1437842936.93,9949990299.98
1969,3111017665.51,11357827712.89
1970,4788484022.72,12234619219.15
1971,1077297789.31,13995691274.99
1972,1791164478.47,12326642376.13
1973,1022176783.84,9365666349.31
1974,563994342.77,12000273606.46
1975,3168378108.0,12925983100.73
1976,909218825.81,13261505796.34
1977,1791558150.47,10909739550.22
1978,2982566533.61,14368874834.08
1979,2541221209.09,12202292941.24
1980,2923010304.12,13114008625.87
1981,1111981624.48,16201096029.0
1982,2360357045.35,14040607244.26
