Cultural Trends and Influences,Theater Attendance,tickets
trend,single_valley,stable_rising,volatile_rising,single_valley
Year,Meridian Drama Circle,Azure Curtain Players,Silverhaven Playwrights,Zenith Repertory
1982,288714.86,503861.76,394070.68,278182.83
1983,331902.36,427447.06,468358.84,231366.85
1984,300036.18,453869.01,621531.5,256263.19
1985,243761.39,490897.63,470563.25,151492.39
1986,139433.08,486707.81,457930.99,187443.39
1987,113439.88,471658.74,553838.98,115708.9
1988,59928.17,518394.01,576190.5,124655.96
1989,87454.79,603734.22,681475.59,110870.6
1990,160700.17,602803.49,709618.03,110054.76
1991,97439.37,580765.77,751434.13,84648.75
1992,147102.27,582414.36,647424.96,82740.76
1993,168926.33,591853.89,736650.79,176410.22
1994,275820.23,684103.58,760915.23,168774.53
1995,264894.84,668017.63,822399.81,260758.28
1996,225543.44,649116.18,958274.5,247824.18
1997,339969.23,750579.4,923212.84,256029.15
1998,335814.1,691370.0,857345.42,292376.56
