Energy and Utilities,Water Consumption,cubic meters
trend,volatile_rising,bimodal_peak,exponential_rising,stable_rising,stable_falling
Year,Azure Reservoir Management,Meridian Water Authority,Silverhaven Water Board,Borealis Water Cooperative,Zenith Public Works
1959,29704779.32,50420835.02,30324356.23,28792124.99,28556888.27
1960,31227219.23,53569371.56,33718030.01,31430549.67,29738957.5
1961,32524602.0,55441362.33,35320352.62,33701806.07,31260993.66
1962,39018656.8,58629041.75,40273296.89,36306331.91,32822615.58
1963,38260390.24,58770440.61,43269564.84,36136247.23,34117724.13
1964,43514329.99,63104452.78,48351580.55,38564621.33,34544304.45
1965,43286084.5,64451678.01,53596961.16,39783529.14,35412207.88
1966,44584161.42,61551712.44,58733540.81,39455665.73,36066444.03
1967,50165817.8,62733008.89,65858377.81,42581171.09,35189315.71
1968,52515839.27,61983654.02,69705756.47,42662826.59,38598806.05
1969,53457073.39,59823775.28,79817327.68,46809775.19,41487253.44
1970,62019535.16,57651554.78,83745503.09,46325255.12,39505475.87
1971,58802402.97,55954374.2,94841442.58,48183389.59,39244442.61
1972,61105748.53,53229419.16,102778404.39,49933879.11,42110247.58
1973,64475210.67,50713496.29,113514517.63,51883026.22,42028412.16
