Cultural Trends and Influences,Theater Attendance,tickets
trend,single_peak,single_valley,volatile_falling,stable_rising,single_peak,bimodal_peak,single_peak
Year,Silverhaven Playwrights,Azure Curtain Players,Stellar Performance Troupe,Zenith Repertory,The Ivory Stage,Meridian Drama Circle,Aethelgard Thespians
1956,536889.17,181736.66,245512.77,236480.23,362226.43,595780.64,431266.67
1957,572231.01,162312.79,234042.29,251224.57,379792.86,637180.31,444963.78
1958,607608.65,141805.7,215783.33,265957.01,413247.03,677871.11,474632.53
1959,645110.23,117762.84,202152.33,278479.66,430897.33,713425.95,503813.49
1960,678360.17,97231.4,188810.7,285681.29,461777.79,740378.43,526405.61
1961,703697.0,80326.91,171780.74,299770.95,479471.51,762857.23,543454.99
1962,725227.28,67724.72,159547.84,313024.57,490895.61,773606.38,559250.67
1963,731517.45,65013.64,140298.42,326061.35,502923.0,788670.6,559980.97
1964,725021.48,68333.4,125576.77,333794.85,487120.79,787122.12,556875.36
1965,707999.51,77325.37,117136.33,347261.72,474081.86,787748.36,546800.4
1966,683981.04,96491.24,95024.09,358951.65,458546.95,778308.99,524121.04
1967,640252.58,117967.94,81951.36,371746.86,432440.12,764524.77,503513.49
1968,603946.35,138779.98,71164.57,384655.34,408944.44,741238.02,477632.09
1969,569498.49,159783.3,54812.77,396935.57,381270.16,713054.99,448305.69
1970,532857.06,182964.51,38652.28,409248.75,365684.93,681863.47,427551.52
1971,499564.69,201309.41,24290.2,420651.31,341177.3,643172.33,403819.72
