Energy and Utilities,Renewable Energy Production,MWh
trend,stable_falling
Year,Sunstone Solar Farm
1964,103703182.25
1965,93060844.36
1966,96439767.67
1967,100418298.23
1968,117781617.63
1969,95819601.28
1970,118058785.62
1971,105030291.95
1972,117305314.01
1973,121133320.64
1974,117869414.45
1975,109523649.02
1976,135299597.2
1977,155167584.86
1978,174689501.55
1979,134220566.26
1980,169828300.05
1981,131442705.18
1982,132303249.31
1983,128257314.02
1984,174322189.95
1985,150495762.9
1986,176377432.81
1987,168790804.07
