Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,stable_rising,single_peak,exponential_rising,single_valley
Year,Whispering Canvas,Stellar Exhibit Hall,Zenith Sculpture Garden,Meridian Art Collective
1976,314639.29,295261.3,277723.76,285438.02
1977,343194.92,335631.58,279387.78,196492.25
1978,327026.72,352746.48,347340.89,236839.1
1979,385339.08,353134.37,434596.33,190764.34
1980,357367.79,417875.05,490447.19,166447.11
1981,384052.91,442172.35,509885.19,173841.09
1982,384387.79,503484.4,481391.12,170886.05
1983,414181.66,522824.51,564799.44,127682.56
1984,455639.37,483481.66,669782.79,102943.72
1985,404416.2,513069.07,709904.16,80608.69
1986,488271.44,592112.93,801231.0,133054.32
1987,522980.11,585920.91,872494.0,134286.16
1988,477526.78,494675.43,891177.43,99041.55
1989,532424.32,515560.37,990000.42,93933.63
1990,481694.64,464453.12,1156488.2,156981.43
1991,539532.52,449055.36,1239606.98,173417.54
1992,568905.35,403216.19,1366755.39,247709.16
1993,569043.87,384826.23,1541263.69,235978.58
1994,553355.49,373329.77,1646973.97,204260.08
1995,567594.8,411747.8,1845227.12,177547.67
1996,559146.76,314518.1,1965056.8,212159.88
