Business and Finance,Operating Expenses,$
Year,Vanguard Dynamics,Aegis Corp,Horizon Enterprises,NovaTech Solutions,Ironclad Ventures,Starlight Innovations,Apex Systems
trend,bimodal_valley,exponential_rising,stable_falling,bimodal_peak,periodic_stable,single_valley,stable_falling
1978,3657819.88,5430347.39,5170386.33,6351739.22,4896144.33,6111544.94,5107044.97
1979,3769237.9,5356052.61,5319824.67,6848303.81,6345763.72,5443788.52,5076876.42
1980,2837928.86,5466897.14,5389284.62,7661112.94,5775323.18,4400961.36,4839082.56
1981,2645362.63,6722662.34,5876958.76,8293357.61,4343562.71,3996416.4,4994525.98
1982,998204.27,6972044.32,5478921.16,8175571.79,4006653.05,3565809.76,5801933.13
1983,968114.17,7895205.98,5601775.78,8145290.03,5000610.88,4086748.37,6607566.54
1984,1369446.31,9103449.52,6104551.45,8629963.68,6132101.29,3376460.5,6260355.64
1985,1627595.68,9741299.53,6214419.64,8244530.23,5854843.34,3002159.31,6201102.12
1986,676107.87,11909662.68,6120734.7,8833238.47,4559336.59,2375218.93,6052126.61
1987,1456541.54,11870612.13,6537468.14,8590003.8,3832208.04,1609370.74,6747582.54
1988,1560236.25,13065083.56,6359818.45,9343960.94,4902983.12,2446529.33,6731270.46
1989,1922764.75,14183220.99,7641166.94,8405388.2,6038864.85,1730002.66,5848146.46
1990,1650858.53,15468563.84,7024998.98,7990672.76,5726803.75,980778.41,6800553.76
1991,2414686.45,17854959.25,6918134.61,8526124.02,4178741.29,987384.6,7093002.6
1992,1863750.04,19026657.18,6750273.44,8502123.33,3607184.96,1398493.09,6760730.15
1993,3384059.97,20726865.23,7236355.61,8065875.4,5191698.9,1508615.88,8272905.64
1994,2316370.42,22523774.72,6771875.31,8357331.51,5729382.24,1761897.98,8156120.28
1995,2483999.28,25426925.17,7147334.93,8762464.68,5705264.81,2378442.77,7587082.67
1996,1788734.19,27581916.33,8264165.47,8692683.53,4363079.46,2472489.04,7928154.54
1997,530984.16,31487385.04,7596658.15,8195991.0,3948252.27,3315680.09,7890937.84
1998,1430707.33,34005332.88,7719230.69,8352893.61,4921234.62,2978026.62,7738509.8
1999,1305569.06,36820998.65,8043995.55,9248499.26,6125710.08,4210520.58,8425069.73
2000,1649363.79,40866632.8,7734433.64,8845570.81,5745944.64,4666182.45,8066642.6
2001,1191745.13,45276737.59,9101648.78,8487160.39,4182354.12,3861466.97,8634992.96
2002,1323556.21,49099644.43,8032070.57,8066316.15,3914497.27,4546163.26,8398066.56
2003,1872099.41,53377943.32,8907448.55,8032696.39,4873866.14,5181634.99,8897071.25
2004,3394310.37,59657940.99,9062652.05,6693061.68,6330531.6,4889020.81,9384627.11
2005,2950928.43,65746881.95,8872198.16,7325192.62,6009276.17,5129356.07,9107889.24
