Agriculture and Food Production,Water Usage,cubic meters
Year,Starfall Organics,Misty Meadow Acres
trend,single_peak,single_peak
1955,2353562.17,2479908.33
1956,2500799.23,2590666.0
1957,2536457.34,2605487.67
1958,2752101.22,2888443.89
1959,2916856.88,2843764.03
1960,3097202.66,3250907.25
1961,3347112.27,3150011.09
1962,3531024.51,3513900.58
1963,3539567.91,3378070.76
1964,3549593.8,3412253.9
1965,3428519.53,3595283.22
1966,3475873.25,3350824.95
1967,3337222.2,3186758.11
1968,3063880.21,3149665.24
1969,3061850.78,2949527.02
1970,2751396.43,2709127.54
1971,2447794.04,2565189.6
1972,2373920.43,2318404.55
1973,2206257.76,2370861.07
