Agriculture and Food Production,Livestock Production,tons
trend,exponential_falling,single_valley,bimodal_peak,single_valley,exponential_falling,periodic_stable
Year,Golden Harvest Cooperative,Starfall Organics,Riverbend Plantation,Ironwood Ranch,Misty Meadow Acres,Sunstone Farms
1971,50337.13,50659.36,60752.9,49227.44,46460.73,49966.46
1972,40855.88,46238.44,65206.43,47535.1,47579.34,61697.59
1973,37480.45,49101.69,73686.78,53408.63,36575.54,57953.12
1974,35310.16,48580.29,78542.1,48177.66,35956.45,44360.54
1975,29970.66,46244.04,83731.17,45096.56,31584.82,38587.47
1976,30165.53,43466.74,82260.3,41640.56,27693.67,48868.3
1977,27438.83,36317.26,85013.01,41199.06,25938.66,63448.87
1978,26190.8,39280.74,87032.03,35183.86,20508.14,56837.69
1979,20023.75,31643.87,84609.32,33754.42,19270.77,44469.1
1980,20355.65,31022.63,88409.17,29223.06,23675.71,38993.17
1981,15084.52,21871.94,89316.07,22923.92,20506.82,49306.08
1982,16059.32,18194.94,84332.99,22520.24,17612.02,58833.31
1983,8148.88,23982.13,85912.99,15279.66,10179.16,57004.47
1984,11094.34,14670.89,76296.37,12951.92,8515.84,43607.4
1985,7540.07,16073.7,73807.84,10824.38,9893.68,38660.83
1986,7527.51,10178.6,77999.04,9904.53,6304.27,48732.76
1987,9265.69,20647.03,76471.7,13722.44,9607.4,61750.89
1988,10898.01,19265.77,86332.48,20588.96,6578.99,58029.49
1989,6027.68,24101.13,86688.54,19331.65,7282.87,42375.45
1990,7049.1,30132.97,85793.3,30414.97,5213.76,36578.22
1991,6934.03,27403.61,89943.33,27592.96,5129.24,52293.37
1992,6014.16,37407.61,85617.25,36537.62,7224.97,59374.95
1993,5090.53,40590.7,86111.84,37699.42,7139.8,56418.58
1994,500.0,41719.25,89916.02,38047.88,6965.08,38513.86
1995,2485.07,48153.1,81130.72,48289.42,3408.56,37939.05
1996,2770.3,44995.82,80440.55,38530.49,500.0,50856.94
1997,500.0,45117.15,68166.97,42063.19,4138.06,63284.94
1998,6345.09,49294.28,67583.44,52785.04,4806.84,57853.19
1999,2967.89,47691.25,61620.84,47312.33,3174.78,44065.42
