Tourism and Hospitality,Luggage Loss Rate,%
Year,Ferry Services,High-Speed Trains,Shared Ride,Car Rentals,International Terminals
trend,single_peak,volatile_falling,single_valley,periodic_stable,stable_rising
1997,2.38,1.6,0.66,1.66,1.49
1998,2.42,1.39,0.61,1.92,1.25
1999,2.34,1.01,0.56,1.79,1.76
2000,2.52,1.02,0.29,1.22,1.74
2001,2.58,1.23,0.45,1.09,1.72
2002,2.54,1.15,0.72,1.49,1.96
2003,2.47,0.9,0.54,1.85,1.75
2004,2.28,1.08,0.43,1.75,2.18
2005,2.44,0.66,0.79,1.18,2.26
2006,2.03,0.69,0.85,1.1,2.31
