Sports and Entertainment,Fan Engagement,index
trend,volatile_rising,periodic_stable
Year,Veridian Followers,Silverleaf Supporters
1982,60.18,69.15
1983,51.84,90.44
1984,97.15,78.7
1985,108.2,60.57
1986,80.85,48.9
1987,103.91,75.52
1988,96.72,88.71
1989,119.34,75.25
1990,109.3,54.45
1991,112.29,60.37
1992,118.2,67.75
1993,126.58,86.0
1994,129.66,80.2
1995,128.64,61.47
1996,142.26,53.17
1997,165.18,80.49
1998,154.96,82.59
1999,169.0,80.07
2000,182.74,66.23
2001,193.11,53.42
2002,196.4,66.69
2003,192.45,83.39
2004,197.23,82.47
