Sports and Entertainment,Social Media Followers,followers
trend,periodic_stable,single_valley
Year,@IronwoodInvincibles,@ApexAthletics
1981,10159254.72,8187355.14
1982,11696035.4,6679716.14
1983,11875217.77,10171404.14
1984,8487119.0,6470302.19
1985,6507718.86,8759952.3
1986,11972321.92,4855189.07
1987,12560324.46,271371.81
1988,10844410.42,2354171.5
1989,7866368.67,4055123.81
1990,8751262.21,1531576.17
1991,10699750.76,7448866.15
1992,12350940.31,1465528.26
1993,11429213.04,1247204.85
1994,10484314.93,2790948.09
1995,8207090.28,4145685.92
1996,10866557.77,3500041.85
1997,12461451.59,8036577.59
1998,10660232.56,5786821.24
1999,8724348.13,7033862.7
2000,6548951.99,6284309.59
2001,11168438.94,7870724.82
2002,11917556.58,9350215.94
