Human Resources and Employee Management,Absenteeism Rate,%
trend,stable_rising,volatile_falling,stable_rising
Year,Research & Development,Human Resources,Engineering Department
1994,3.77,5.06,2.44
1995,3.94,4.72,2.56
1996,4.15,4.47,2.68
1997,4.32,4.15,2.8
1998,4.51,3.86,2.92
1999,4.69,3.56,3.04
2000,4.89,3.24,3.17
2001,5.06,2.94,3.29
2002,5.26,2.65,3.4
2003,5.45,2.32,3.54
2004,5.63,2.01,3.66
2005,5.82,1.7,3.78
2006,6.0,1.42,3.89
2007,6.19,1.13,4.02
2008,6.38,0.8,4.14
2009,6.59,0.52,4.26
2010,6.76,0.2,4.39
2011,6.95,0.05,4.51
2012,7.12,0.05,4.63
