Education and Academics,Alumni Giving Rate,%
trend,exponential_falling,single_peak,bimodal_peak,bimodal_peak
Year,Meridian Academy Patrons,Silverhaven Polytechnic Fund,Zenith Tech Foundation,Aethelgard Arts Circle
1998,10.08,14.41,17.74,16.98
1999,9.72,14.33,19.78,19.62
2000,8.31,15.54,20.6,20.62
2001,8.18,16.9,21.56,20.41
2002,6.34,16.82,22.41,22.16
2003,4.33,16.1,22.7,22.06
2004,6.21,18.78,22.42,23.13
2005,3.43,17.37,22.15,22.89
2006,4.7,16.86,21.87,21.06
2007,3.65,17.06,21.78,20.48
2008,2.23,15.92,20.5,20.4
2009,2.88,14.79,18.88,18.79
2010,1.51,13.33,16.59,18.69
