Retail and E-commerce,Delivery Time,days
trend,stable_rising,bimodal_peak,single_peak,exponential_rising
Year,Standard Shipping,Autonomous Vehicles,International Freight,Rural Logistics
1996,2.56,2.94,2.75,2.53
1997,2.54,3.0,2.43,2.59
1998,2.77,3.44,1.91,2.9
1999,3.51,3.96,2.85,3.53
2000,2.83,4.18,2.85,3.83
2001,3.24,4.57,2.89,4.14
2002,3.19,4.6,3.3,4.16
2003,3.62,4.68,3.22,4.16
2004,3.21,4.52,3.23,5.91
2005,3.55,4.16,3.99,5.85
2006,3.85,4.35,3.83,6.06
2007,3.68,4.5,4.16,7.41
2008,4.28,4.01,3.76,7.78
2009,3.77,3.56,3.95,8.37
2010,4.29,3.45,4.05,9.59
2011,4.25,3.67,4.32,10.12
2012,4.52,3.51,4.74,11.53
2013,4.48,4.23,3.72,12.8
2014,4.58,4.54,3.31,13.63
2015,4.77,3.96,3.28,15.2
2016,4.68,4.39,3.34,16.9
2017,5.08,4.46,3.07,18.72
2018,5.22,4.01,2.95,20.25
2019,5.34,4.27,2.73,22.39
2020,5.51,4.14,2.74,24.83
2021,5.81,3.83,2.76,27.41
2022,5.66,3.45,2.72,29.82
2023,5.86,3.52,2.62,32.68
2024,5.95,3.19,2.23,36.07
