Food and Beverage Industry,Customer Traffic,customers/day
trend,periodic_stable,exponential_rising,periodic_stable,periodic_stable,stable_falling,periodic_stable,volatile_rising
Year,Crimson Plate,Sky High Cafe,The Cozy Nook,Stellar Bistro,The Rusty Kettle,The Golden Spoon,Emerald Diner
1982,453.99,505.93,507.86,480.29,478.67,491.2,505.84
1983,629.05,579.28,610.04,612.17,524.01,607.95,554.11
1984,565.09,571.58,589.3,556.06,469.99,539.6,684.29
1985,432.31,671.38,418.99,431.5,503.33,414.31,638.82
1986,405.49,648.77,368.07,393.03,608.37,382.77,590.99
1987,491.5,861.3,487.14,493.73,576.72,527.6,625.44
1988,658.58,872.55,608.39,617.98,566.54,629.6,737.55
1989,575.04,985.63,577.62,568.73,594.81,577.83,769.75
1990,417.88,1079.38,417.65,415.31,623.29,420.81,768.22
1991,370.6,1180.14,369.71,407.74,603.35,388.05,892.84
1992,493.78,1258.74,515.61,496.24,627.05,493.59,939.81
1993,635.32,1439.05,618.14,619.78,585.74,644.27,1025.84
1994,562.9,1565.0,576.48,573.96,638.57,549.69,905.56
1995,427.14,1694.56,410.94,437.51,743.97,429.27,1003.25
1996,374.16,1856.6,382.27,395.17,676.65,407.22,1001.12
1997,490.32,2082.59,519.74,526.18,708.55,483.95,1087.98
1998,638.24,2332.03,613.68,602.08,733.44,621.61,1096.57
1999,593.4,2534.93,557.83,582.02,794.31,563.44,1083.59
2000,417.32,2861.83,459.13,408.79,780.73,465.4,1287.08
2001,346.14,3059.14,350.87,410.18,848.47,391.53,1220.2
2002,466.05,3343.71,534.38,500.93,800.36,472.43,1304.93
