Agriculture and Food Production,Fertilizer Price,$/ton
trend,exponential_rising,random_on_off_rising,random_on_off_rising,exponential_rising,volatile_falling,exponential_rising
Year,Solara Sugarbeet,Terran Spice Mix,Skyberry Pulp,Lumina Grain,Zephyr Cotton,AquaBeans
1993,296.01,315.98,347.46,255.45,307.08,269.68
1994,356.44,370.03,307.86,347.07,285.19,331.11
1995,413.94,363.85,324.7,353.04,252.85,337.86
1996,370.03,358.08,341.38,420.39,208.39,408.95
1997,511.92,313.5,330.73,437.05,267.79,406.07
1998,508.07,57.4,146.05,530.37,244.15,462.76
1999,518.34,3.0,66.87,498.25,187.25,479.28
2000,546.46,11.54,287.37,628.84,153.14,595.97
2001,648.7,277.82,363.86,586.18,166.17,632.07
2002,720.03,381.32,395.27,721.71,153.86,673.04
2003,767.1,441.5,457.55,763.08,116.97,777.87
2004,861.75,409.71,432.06,806.34,81.56,880.36
